Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Url_diskografija,Song_diskografija,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Album_4_diskografija,Album_5_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
0,MZPizswt_1_0,Baruni,Baruni,A tebe molim vrati se,2835,"Od kako zivim ne pamtim
da sam tako volio
od kako zivim ne pamtim
nisam te prebolio

Od kako zivim ne pamtim
da sam tako volio
od kako volim ne pamtim
da sam nekog molio
 
Ref.
A tebe molim vrati se
ucini pravu stvar
a tebe molim vrati se
jer mi smo dobar par

A tebe molim vrati se
ucini pravu stvar
a tebe molim vrati se
za jedan zivot bar

Na ovom svijetu trazim put
to malo mira za sebe
al' gdje god dodjem stignes me
ne mogu bez tebe

Ref. 2x","https://tekstovi.net/2,548,44416.html",,A tebe molim vrati se,"A ciebie proszę, wróć",Vrati se (1997),"Od kako živim, ne pamtim,
da sam tako volio.
Od kako živim, ne pamtim,
nisam te prebolio.. Od kako živim, ne pamtim,
da sam tako volio.
Od kako volim, ne pamtim,
da sam nekog molio.. A tebe molim, vrati se,
učini pravu stvar.
A tebe molim, vrati se,
jer mi smo dobar par.. A tebe molim, vrati se,
učini pravu stvar.
A tebe molim, vrati se,
za jedan život bar.. Na ovom svijetu tražim put
to malo mira za sebe,
al’ gdje god dodjem, stigneš me,
ne mogu bez tebe.","Nie pamiętam, od kiedy żyję,
żebym tak kochał.
Nie pamiętam, od kiedy żyję,
bym cię odżałował.. Nie pamiętam, od kiedy żyję,
żebym tak kochał.
Nie pamiętam, od kiedy kocham,
żebym kogoś prosił.. A ciebie proszę, wróć,
uczyń tę słuszną rzecz.
A ciebie proszę, wróć,
bo dobra jest z nas para.. A ciebie proszę, wróć,
uczyń tę słuszną rzecz.
A ciebie proszę, wróć,
choć dla jednego istnienia.. Na tym świecie szukam drogi,
tej krzty spokoju dla siebie,
lecz gdzie nie pójdę, dościgasz mnie,
nie mogę żyć bez ciebie.",https://lyricstranslate.com/en/tebe-molim-vrati-se-ciebie-prosz%C4%99-wr%C3%B3%C4%87.html,['Baruni'],1997 - Vrati se,1997 - Vrati se - instrumentalno,2000 - Veliki hitovi 1,https://diskografija.com/pjesma/a-tebe-molim-vrati-se-6941.htm,A tebe molim vrati se,,,,,,,,
1,MZPizswt_1_1,Baruni,Baruni,Ako odes,11554,"Nemoj nikada otici
a da se ne vratis
sunca ce nestati
ako me ostavis

Ovaj zivot me umara
nista mi ne daje
srcu si utjeha, tebi se predaje
a ti kazes da odlazis
 
Ref. 2x
Ako odes, ako odes
ako odes sam cu ostati
ja bez tebe, ja bez tebe
ja bez tebe necu zivjeti

Ovaj zivot me umara
nista mi ne daje
srcu si utjeha, tebi se predaje
a ti kazes da odlazis

Ref. 2x

Ref. 2x","https://tekstovi.net/2,548,13207.html",,Ako odeš,,Putuju i oblaci (1996),"Nemoj nikada otići,
a da se ne vratiš.
Sunca će nestati,
ako me ostaviš.. Ovaj život me umara,
ništa mi ne daje.
Srcu si utjeha, tebi se predaje,
a ti kažeš da odlaziš.. Ako odeš, ako odeš,
ako odeš, sam ću ostati.
Ja bez tebe, ja bez tebe,
ja bez tebe neću živjeti.",,https://lyricstranslate.com/en/baruni-ako-ode%C5%A1-lyrics.html,['Baruni'],,,,https://diskografija.com/pjesma/ako-odes-17828.htm,Ako odeš,,,,,,"Nemoj nikada otići,
a da se ne vratiš
sunca će nestati
ako me ostaviš

Ovaj život me uvara
ništa mi nedaje
srcu si utijeha
tebi se predaje.

A ti kažeš da odlaziš
Ako odeš, ako odeš,
ako odeš, sam ću ostati
Ja bez tebe, ja bez tebe,
ja bez tebe, neću živjeti.

Ovaj život me uvara
ništa mi nedaje
srcu si utijeha
tebi se predaje.",Ako odeš,https://cuspajz.com//tekstovi-pjesama/pjesma/baruni/ako-odes.html
2,MZPizswt_1_2,Baruni,Baruni,Bila si moja ljubav,11225,"Nocas me fura samo sentis,
nocas me fura tuzan film,
nocas mi srce hoce puknuti od samoce,
znam da si nocas bila s njim

Nocas me stiglo ono moje,
prokleto kao svaki put,
kada se zvjezde roje 
ko nekad za nas dvoje,
a znam da sve je uzalud
 
Ref.
Bila si moja ljubav,
sve si moje bila ti,
bila si moja ljubav,
za sve moje ljubavi

Nocas me prati samo kisa,
za vrat mi pada hladna kap
a tek me par koraka 
dijeli do tvojih vrata
i snaga da ti oprostim

Ref.


","https://tekstovi.net/2,548,6191.html",,,,,,,,['Baruni'],2003 - Ljubav nosi tvoje ime,2006 - Najbolje od najboljeg,,https://diskografija.com/pjesma/bila-si-moja-ljubav-4281.htm,Bila si moja ljubav,['Miroslav Drljača Rus'],['Miroslav Drljača Rus'],"['Miroslav Drljača Rus', 'Zvonimir Domazet']",,,"Noćas me fura samo sentiš
Noćas me fura tužan film
Noćas mi srce hoće
Puknuti od samoće
Znam da si noćas bila s njim

Noćas me stiglo ono moje
Prokleto kao svaki put
Kada se zvijezde roje
Ko nekad za nas dvoje
A znam da sve je uzalud

Bila si moja ljubav
Sve si moje bila ti
Bila si moja ljubav
Za sve moje ljubavi

Noćas me prati samo kiša
Za vrat mi pada hladna kap
A tek me par koraka
Dijeli do tvojih vrata
I snaga da ti oprostim",Bila si moja ljubav,https://cuspajz.com//tekstovi-pjesama/pjesma/baruni/bila-si-moja-ljubav.html
3,MZPizswt_1_3,Baruni,Baruni,Bilo bi dobro da si kraj mene,9507,"Ne volim blijeda zimska jutra
perone malih stanica
tamo gdje sreca nece sici
a tuga nema granica

Ne volim kad se tebe sjetim
u takvo vrijeme sumorno
sve mi je tada beskrajno pusto
i srce mi je umorno
 
A kad smo bili zajedno
to ne bih ni primjetio

Ref.
Bilo bi dobro da si kraj mene
al' ona ista ona od prije
koja me prati njezno ljubi
bilo bi dobro al' eto nije

Bilo bi dobro da si kraj mene
i ovo jutro ti da me pratis
al' ne bih nikad pa makar umro
sad poslije svega da mi se vratis

Ref. 2x

Bilo bi dobro","https://tekstovi.net/2,548,31222.html",,,,,,,,['Baruni'],2002 - Otkad s tobom ne spavam,2006 - Najbolje od najboljeg,,https://diskografija.com/pjesma/bilo-bi-dobro-da-si-kraj-mene-4740.htm,Bilo bi dobro da si kraj mene,['Miroslav Drljača Rus'],['Miroslav Drljača Rus'],"['Miroslav Drljača Rus', 'Zvonimir Domazet']",,,"Ne volim blijeda zimska jutra
Perone malih stanica
Tamo gdje sreća neće sići
A tuga nema granica

Ne volim kad se tebe sjetim
U takvo vrijeme sumorno
Sve mi je tada beskrajno pusto
I srce mi je umorno

A kad smo bili zajedno
To ne bih ni primjetio

Bilo bi dobro da si kraj mene
Al' ona ista ona od prije
Koja me prati nježno ljubi
Bilo bi dobro al' eto nije

Bilo bi dobro da si kraj mene
I ovo jutro da me pratiš
Al' ne bih nikad pa makar umro
Sad poslije svega da mi se vratiš",Bilo bi dobro da si kraj mene,https://cuspajz.com//tekstovi-pjesama/pjesma/baruni/bilo-bi-dobro-da-si-kraj-mene.html
4,MZPizswt_1_4,Baruni,Baruni,Dobro dosla mi u sjecanje,4371,"Noc je bila tako topla 
al' je prosla ko za tren
s prvim suncem nisam znao
 da l' sam stvarno bio njen

Ljeto nosi svoje price
ljubavi i rastanke
a u jesen sve se vrati 
s malo tuge, do mene
 
Ref. 2x
Ti si spas kad hladna zima dolazi
sve zbog nas, bih opet da se ponovi
ne znas ti koliko znacis za mene
dobro dosla mi u sjecanje

Idu dani, teku sporo
 ne mogu preboljeti
sto si dalje, to je teze
 uvijek cu te voljeti

Nemam snage jos jedanput
 za te nase rastanke
ovaj put te ne dam nikom
 budi tu i ljubi me

Ref. 2x

I ovu noc kad srce samo ostane
 vracam se tu
jer moja dusa 
uvijek bezi do tebe

Ref. 2x","https://tekstovi.net/2,548,41148.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Baruni'],,,,https://diskografija.com/pjesma/dobro-dosla-mi-u-sjecanje-20064.htm,Dobro došla mi u sjećanje,,,,,,,,
5,MZPizswt_1_5,Baruni,Baruni,Dobro mi dosla stara ljubavi,35528,"Ljubio sam i sad je jos ljubim
ljubio sam i sad je jos ljubim
skripi dzeram, skripi dzeram
tko je na bunaru, tko je na bunaru
skripi dzeram, ej, skripi dzeram

Ref.
Dobro mi dosla stara ljubavi
dobro mi dosla sa mnom ostani
nema mi srece, nema bez tebe
kada te nema srce umire, bez tebe
 
Nisam odavno tebe ljubio
nisam se duso s tobom budio
nisu me zore sretne gledale
sve su se moje zelje predale, bez tebe

Lomi se srce kao zica
u mojoj dusi ranjena ptica
ja i ne letim kad vidim nju
kada se sjetim da nisi tu

Ref.","https://tekstovi.net/2,548,19391.html",,Dobro mi došla stara ljubavi,"Witaj mi, stara miłości",Ulica Ilica (1998),"Ljubio sam i sad je još ljubim,
ljubio sam i sad je još ljubim.
Škripi djeram, škripi djeram,
tko je na bunaru, tko je na bunaru,
škripi djeram, ej, škripi djeram.. Dobro mi došla, stara ljubavi,
dobro mi došla, sa mnom ostani.
Nema mi sreće, nema bez tebe,
kada te nema srce umire, bez tebe.. Nisam odavno tebe ljubio,
nisam se dušo s tobom budio,
nisu me zore sretne gledale,
sve su se moje želje predale, bez tebe.. Lomi se srce, kao žica,
u mojoj duši ranjena ptica.
Ja i ne letim, kad vidim nju,
kada se sjetim, da nisi tu.","Kochałem ją i teraz wciąż ją kocham
Kochałem ją i teraz wciąż ją kocham
Skrzypi kołowrót, skrzypi kołowrót
Który jest nad studnią, który jest nad studnią
Skrzypi kołowrót, ej, skrzypi kołowrót. Witaj mi, stara miłości
Witaj mi, zostań ze mną
Nie ma dla mnie szczęścia, nie ma bez Ciebie
Kiedy Cię nie ma serce umiera, bez Ciebie. Od dawna Cię nie całowałem
Nie budziłem się z Tobą, ukochana
Nie oglądały mnie szczęśliwe zorze (świty)
Wszystkie moje pragnienia sprzedane, bez Ciebie. Rwie się moje serce, jak struna
W mojej duszy zraniony ptak
I ja nie wzlatuję, kiedy ją widzę
Kiedy sobie przypomnę, że jej tu nie ma",https://lyricstranslate.com/en/dobro-mi-do%C5%A1la-stara-ljubavi-witaj-mi-stara-mi%C5%82o%C5%9Bci.html,['Baruni'],1998 - Ulica Ilica,2000 - Veliki hitovi 1,2006 - Najbolje od najboljeg,https://diskografija.com/pjesma/dobro-mi-dosla-stara-ljubavi-6925.htm,Dobro mi došla stara ljubavi,['Miroslav Drljača Rus'],['Miroslav Drljača Rus'],"['Miroslav Drljača Rus', 'Zvonimir Domazet']",,,,,
6,MZPizswt_1_6,Baruni,Baruni,Hajde me ljubi,4064,"Ne citam pjesme ljubavne
teske su duso bez tebe
ni one sto sam tebi dao
ne bih nikada da sam ovo znao

Ljubav je zamka duboka
sam lovac u nju upada
kad mislis da je tvoje sve
k'o udar groma stigne jedno ne
 
Ref.
Hajde me ljubi hajde me zagrli
stisni me jako i tako nastavi
jer nemam vremena
sad ili nikada

Hajde me ljubi hajde me zagrli
stisni me jako i tako nastavi
pozuri mala molim te
dok vrijeme je

Ref. 2x","https://tekstovi.net/2,548,31436.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Baruni'],,,,https://diskografija.com/pjesma/hajde-me-ljubi-4738.htm,Hajde me ljubi,,,,,,"Ne čitam pjesme ljubavne
Teške su dušo bez tebe
Ni one što sam tebi dao
Ne bih nikada da sam ovo znao

Ljubav je zamka duboka
Sam lovac u nju upada
Kad misliš da je tvoje sve
K' o udar groma stigne jedno ne

Hajde me ljubi hajde me zagrli
Stisni me jako i tako nastavi
Jer nemam vremena
Sad ili nikada

Hajde me ljubi hajde me zagrli
Stisni me jako i tako nastavi
Požuri mala molim te
Dok vrijeme je ...",Hajde me ljubi,https://cuspajz.com//tekstovi-pjesama/pjesma/baruni/hajde-me-ljubi.html
7,MZPizswt_1_7,Baruni,Baruni,Hrvatski ratnik,7662,"Bio sam hrvatski ratnik
sada sam samo patnik
godine sjecanja brisu
i novu povijest pisu

Jednom smo cekali novu
daleko u snjeznom rovu
od dobrih zelja i nada
pogledaj gdje sam sada
 
Ref. 2x
Kome jos trebam ja
sjena od covjeka
ledja mi okrecu svi
hej moja ljubavi

U mojoj dusi je zima
za sto zivota je ima
da sam bar pao sa nijma
sa mojim ratnicima

Ref. 2x

Bio sam hrvatski ratnik
sada sam samo patnik
a cujem govore svi
da smo pobjedili

Kome jos trebam
kome jos trebam ja
sjena od covjeka
ledja mi okrecu svi
hej moja ljubavi

Ref.

Ledja mi okrecu svi
hej moja ljubavi
kome jos trebam ja","https://tekstovi.net/2,548,13565.html",,Hrvatski ratnik,Croatian soldier,Cirkus (1999),"Bio sam hrvatski ratnik,
sada sam samo patnik.
Godine sjećanja brišu,
i novu povijest pišu.. Jednom smo čekali Novu,
daleko, u snježnom rovu,
od dobrih želja i nada.
Pogledaj, gdje sam sada.. Kome još trebam ja,
sjena od čovjeka,
ledja mi okreću svi,
hej, moja ljubavi!. U mojoj duši je zima,
za sto života je ima.
Da sam bar pao s njima,
s mojim ratnicima.. Bio sam hrvatski ratnik,
sada sam samo patnik,
a čujem, govore svi,
da smo pobijedili.","I was a Croatian soldier,
now I'm just a sufferer.
Years erase the memories,
and write a new history.. Once we waited for the New,
far away, in a snowy trench,
of good intentions and hope.
Look where I am now.. Who still needs me,
a shadow of a man,
everyone turns their backs to me,
hey, my love!. It's winter in my soul,
it's for a hundred lives,
If only I'd fallen with them,
with my warriors.. I was a Croatian soldier,
now I'm just a sufferer.
and I hear, everyone says,
that we won.",https://lyricstranslate.com/en/hrvatski-ratnik-croatian-soldier.html,['Baruni'],,,,https://diskografija.com/pjesma/hrvatski-ratnik-17841.htm,Hrvatski ratnik,,,,,,"Bio sam hrvatski ratnik
Sada sam samo patnik
Godine sjećanja brišu
I novu povijest pišu

Jednom smo čekali novu
Daleko u snježnom rovu
Od dobrih želja i nada
Pogledaj, gdje sam sada

Kome još trebam ja
Sjena od čovjeka
Leđa mi okreću svi
Hej, moja ljubavi

U mojoj duši je zima
Za sto života je ima
Da sam bar pao s njima
S mojim ratnicima

Kome još trebam ja
Sjena od čovjeka
Leđa mi okreću svi
Hej, moja ljubavi

Bio sam hrvatski ratnik
Sada sam samo patnik
A čujem govore svi
Da smo pobijedili
Kome još trebam ja",Hrvatski ratnik,https://cuspajz.com//tekstovi-pjesama/pjesma/baruni/hrvatski-ratnik.html
8,MZPizswt_1_8,Baruni,Baruni,Ima nesto i u ljubavi,3862,"Te je noci bila nova haljina
tad su sjali biseri u ocima
ti nikad ljepsa, a ja nikad vise lud
uzalud, uzalud

Tih se dana sjetim, al' bez osmijeha
kad si mislila da imas covjeka
tih sam dana bas sve sto sam mogao
srusiti srusio
 
Ref.
Nije zivot to sto mislio sam, ne
nisi musko ako muski popijes
nije sretan tko bogatstvo napravi
ima nesto i u ljubavi

Nije zivot to sto zivio sam ja
od one noci kad si me napustila
nije pravi onaj tko iznevjeri
ima nesto i u ljubavi
jer ima nesto i u ljubavi

Ref. 2x","https://tekstovi.net/2,548,47314.html",,,,,,,,,,,,,,,,,,,,,
9,MZPizswt_1_9,Baruni,Baruni,Janica i Ivica,3791,"Ima jedna zemlja mala
sada svatko za nju zna
trese se i Himalaja
kada krene Janica

Rekli su nam da smo slabi
da je Sljeme premalo
al da Sljeme ima stazu
shvatili su prekasno
 
Ref.
Neka pati koga smeta
Janica je prvak svijeta
neka samo suze rone
mi imamo sampione

Neka pati koga smeta
Ivica je prvak svijeta
nek hrvatska zvona zvone
mi imamo sampione

Ima jedno plavo more
ime mu je Jadransko
a njegovi sume vali
sveto ime hrvatsko

Dobro dosla kuci Jano
budi s nama sada ti
nek svi vide tko te voli
tko se s tobom ponosi

Ref. 2x

Hrvatska, Hrvatska, Hrvatska
Mi imamo sampione
Hrvatska","https://tekstovi.net/2,548,31544.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Baruni'],,,,https://diskografija.com/pjesma/janica-i-ivica-17842.htm,Janica i Ivica,,,,,,"Ima jedna zemlja mala
Sada svatko za nju zna
Trese se i Himalaja
Kada krene Janica

Rekli su nam da smo slabi
Da je Sljeme premalo
Al' da Sljeme ima stazu
Shvatili su prekasno

Neka pati koga smeta
Janica je prvak svijeta
Neka samo suze rone
Mi imamo šampione

Neka pati koga smeta
Ivica je prvak svijeta
Nek' hrvatska zvona zvone
Mi imamo šampione

Ima jedno plavo more
Ime mu je Jadransko
A njegovi šume vali
Sveto ime hrvatsko

Dobro došla kući Jano
Budi s nama sada ti
Nek' svi vide tko te voli
Tko se s tobom ponosi

Neka pati koga smeta
Janica je prvak svijeta ...",Janica i Ivica,https://cuspajz.com//tekstovi-pjesama/pjesma/baruni/janica-i-ivica.html
